"Enabled", "Enabled"
"Title", "Payment Title"
"Description", "Description"
"Instructions", "Instructions"
"Max installments", "Maximum number of installments"
"Max installments free", "Maximum number of installments without interest"
"Enable Sandbox", "Enabled sandbox"
"API Key - Production", "API Key - Production"
"API Key - Sandbox", "API Key - Sandbox"
"Place Order", "Place Order"
"Credit Card Number", "Credit Card Number"
"Expiration Date", "Expiration Date"
"Card Verification Number", "Card Verification Number"
"Document Id", "Document"
"Checkout to display the QRCode", "Checkout to display the QRCode"
"Open your bank app and select the option to pay with PIX/Scan QRCode", "Open your bank app and select the option to pay with PIX/Scan QRCode"
"Check the data and confirm your payment through your bank's app", "Check the data and confirm your payment through your bank's app"
"Choose a payment method", "Choose a payment method"
"Transaction Code", "Transaction Code"
"Payment Received", "Payment Received"
"If you have already paid, check that it has been confirmed on the page", "If you have already paid, check that it has been confirmed on the page"
"order details", "order details"
"Thank you for buy in our store. You can check progress of order on the order page.", "Thank you for buy in our store. You can check progress of order on the order page."
"go to order", "go to order"
